age,gender,height_cm,weight_kg,waist_cm,neck_cm,hip_cm,sleep_hours,workouts_per_week,daily_calories,activity_level,fitness_goal,body_fat_percentage
30,female,161.6,61.1,94.0,29.0,98.7,6.9,2,1203,light,fat_loss,18.78
24,male,167.3,71.6,108.9,34.0,96.0,6.4,1,1918,sedentary,fat_loss,20.02
32,male,168.5,69.7,91.7,34.0,92.9,6.8,3,2246,light,maintain,20.62
17,male,183.6,62.4,92.6,31.4,90.1,8.5,2,2162,light,maintain,9.92
29,female,168.3,48.3,89.3,28.0,95.8,6.3,3,1397,moderate,fat_loss,10.93
16,male,169.6,80.0,70.8,34.0,91.6,7.2,1,1876,sedentary,fat_loss,20.85
23,male,178.9,72.2,89.7,30.8,87.8,6.0,4,2403,moderate,fat_loss,16.16
19,male,160.9,61.2,90.6,34.9,91.0,7.3,4,1925,moderate,fat_loss,16.54
20,male,181.6,70.7,114.6,35.5,94.9,8.0,6,3146,active,maintain,14.13
20,male,181.1,73.4,88.1,32.9,86.2,7.4,0,1857,sedentary,fat_loss,15.26
18,female,159.3,50.1,93.0,30.5,91.7,6.7,4,1879,active,fat_loss,11.63
16,female,157.3,65.8,89.7,32.0,103.3,6.6,4,2356,moderate,maintain,19.39
20,female,162.5,61.7,78.3,29.3,97.0,7.0,5,2342,moderate,muscle_gain,16.44
23,male,181.0,92.7,101.4,34.7,95.5,7.5,2,2492,sedentary,muscle_gain,23.05
27,female,152.4,60.0,97.5,34.0,109.8,7.8,2,1308,light,fat_loss,21.01
23,male,169.2,72.6,97.9,32.8,102.2,6.1,2,2505,moderate,fat_loss,19.52
27,female,148.1,57.8,80.9,31.0,100.6,6.6,2,1200,light,fat_loss,21.63
16,male,181.6,81.3,104.0,34.6,95.1,8.4,2,1845,light,fat_loss,17.06
20,male,166.0,79.4,76.0,36.4,98.2,7.4,4,2080,moderate,fat_loss,22.98
25,male,165.3,74.6,95.9,34.2,97.5,7.2,1,2092,moderate,fat_loss,22.31
24,male,173.7,86.4,111.9,32.5,104.6,7.8,0,2026,sedentary,fat_loss,23.68
18,male,177.0,68.8,80.1,34.8,90.0,5.0,1,2159,light,fat_loss,14.29
26,male,167.1,74.7,84.3,32.7,96.0,7.7,1,1933,sedentary,maintain,21.88
20,male,176.7,52.1,91.0,30.3,87.9,9.2,5,2487,active,fat_loss,8.42
19,male,181.6,94.3,85.0,33.6,100.5,6.9,6,3155,active,fat_loss,22.48
24,male,180.4,72.5,74.5,30.0,99.2,7.2,4,2532,light,maintain,16.05
22,female,154.6,55.4,90.7,34.5,102.1,6.8,2,1385,sedentary,fat_loss,16.67
20,male,171.4,58.2,79.4,33.7,92.5,6.2,2,2125,sedentary,muscle_gain,12.17
19,male,184.1,84.9,94.7,32.8,94.7,6.7,1,2898,light,maintain,18.23
17,male,172.1,65.5,80.8,35.5,86.6,7.8,5,3288,active,muscle_gain,14.25
20,male,178.6,95.2,105.5,37.5,103.1,7.6,1,2327,light,fat_loss,24.21
27,female,165.6,78.2,82.2,32.6,97.5,6.3,1,2401,sedentary,muscle_gain,24.23
23,male,177.8,73.3,86.8,29.9,96.4,6.6,0,2888,sedentary,muscle_gain,16.91
26,female,168.6,54.6,98.1,32.2,92.9,6.5,2,1462,sedentary,fat_loss,12.83
24,male,163.3,42.3,77.7,31.1,81.8,7.1,4,1296,moderate,fat_loss,8.35
19,male,169.9,58.4,92.3,35.6,93.3,6.8,4,1692,moderate,fat_loss,12.45
16,male,177.0,64.7,103.1,31.2,85.6,7.0,2,2570,moderate,maintain,12.26
18,female,172.5,79.3,73.9,33.2,99.1,6.0,4,1675,light,fat_loss,19.92
19,male,187.4,80.7,91.8,33.3,93.4,8.4,4,2730,active,fat_loss,15.75
19,male,175.0,75.9,92.6,32.0,97.1,7.3,3,2674,light,muscle_gain,17.91
26,male,169.7,61.2,97.8,29.8,89.6,6.5,2,2256,moderate,maintain,15.28
26,male,164.1,64.3,77.6,29.1,92.6,6.0,7,2430,active,fat_loss,18.43
32,male,180.3,65.0,76.8,37.7,89.7,6.6,3,2018,light,fat_loss,15.15
19,male,172.0,68.6,95.2,30.2,89.0,7.9,6,2307,active,fat_loss,16.0
29,male,161.5,71.9,93.0,31.4,94.9,8.2,4,2447,light,muscle_gain,23.55
29,female,154.7,55.8,92.5,28.3,94.6,6.3,4,1991,moderate,muscle_gain,18.45
21,female,165.0,72.2,93.5,29.5,103.3,6.7,1,1991,sedentary,maintain,20.45
24,male,169.0,50.6,83.2,29.0,99.7,5.5,2,1567,light,fat_loss,10.58
28,male,172.0,51.8,92.3,28.0,89.0,5.6,0,1642,sedentary,fat_loss,11.25
22,male,165.7,71.0,92.9,34.6,100.2,7.2,1,1689,sedentary,fat_loss,19.89
21,female,159.6,69.7,82.9,35.8,106.9,6.8,2,1720,sedentary,fat_loss,21.47
19,male,166.8,66.8,108.7,34.6,88.0,6.7,3,2486,light,muscle_gain,16.98
16,female,156.7,78.5,94.7,29.8,107.8,6.5,5,2260,moderate,muscle_gain,25.84
22,female,156.3,49.4,78.1,30.4,97.9,7.3,3,1372,light,fat_loss,13.13
19,female,155.5,52.1,96.6,30.0,104.1,7.2,1,1866,light,muscle_gain,14.03
17,male,165.7,65.7,80.3,32.9,94.2,7.8,7,2027,active,fat_loss,16.42
24,female,155.8,60.3,97.9,31.2,96.8,9.1,7,2394,active,muscle_gain,19.13
16,male,173.4,70.7,101.6,31.8,92.7,6.2,1,1894,sedentary,fat_loss,15.7
26,male,180.4,67.0,81.8,30.8,86.5,6.0,0,2648,light,muscle_gain,14.48
24,male,185.2,89.3,99.6,36.8,92.7,8.4,3,2673,moderate,fat_loss,20.56
20,male,176.7,74.1,94.1,32.9,103.4,6.9,4,2622,moderate,maintain,16.88
22,female,168.0,65.0,98.2,31.3,92.4,7.8,2,1863,light,maintain,16.5
17,female,167.1,71.9,109.0,29.9,102.6,5.9,5,2113,moderate,maintain,18.61
25,male,175.3,76.2,87.5,32.2,92.7,6.1,1,2323,sedentary,maintain,19.31
23,female,156.5,56.5,82.5,29.2,101.5,7.8,3,1487,light,fat_loss,16.77
23,male,171.8,68.2,81.1,32.9,88.0,5.8,5,2612,moderate,muscle_gain,16.82
24,male,164.8,57.6,81.8,35.5,91.4,8.3,2,2152,moderate,fat_loss,14.77
19,male,177.9,67.8,89.2,32.0,99.9,7.7,4,2713,moderate,maintain,13.88
16,female,147.9,49.8,93.4,31.9,100.7,6.4,3,1293,sedentary,fat_loss,14.8
26,male,182.1,84.7,92.8,35.1,91.9,8.4,2,1971,sedentary,fat_loss,20.43
25,male,178.4,58.5,98.3,29.7,92.6,7.6,1,2587,sedentary,muscle_gain,11.61
20,male,167.6,79.4,90.1,35.0,97.7,6.9,2,1688,sedentary,fat_loss,22.32
24,female,146.7,53.1,104.5,31.7,103.2,7.1,3,1326,sedentary,muscle_gain,18.93
28,female,154.9,48.5,87.4,31.6,99.3,5.2,4,1369,light,fat_loss,14.5
27,female,160.6,77.3,117.2,31.4,105.3,5.7,3,2423,light,muscle_gain,25.97
19,female,170.0,71.4,96.3,28.0,101.7,7.8,2,2435,moderate,maintain,17.82
16,female,154.9,46.7,81.4,28.0,95.4,7.2,4,2086,light,muscle_gain,10.84
16,male,175.0,92.7,79.3,33.7,93.8,8.5,1,2291,sedentary,fat_loss,23.8
21,male,179.9,93.3,94.8,35.1,91.8,7.4,3,2805,moderate,fat_loss,23.22
29,female,176.9,68.9,87.8,28.0,100.3,6.0,1,1583,sedentary,fat_loss,16.89
19,female,160.9,57.0,97.1,29.3,95.5,6.0,5,1966,active,fat_loss,14.59
19,male,169.7,68.3,94.7,35.9,88.1,6.3,2,2345,sedentary,muscle_gain,16.63
19,male,170.5,50.8,89.3,36.0,86.6,6.6,1,1849,light,fat_loss,9.14
20,female,157.3,58.9,81.5,31.4,97.2,7.0,6,1756,active,fat_loss,16.97
22,male,172.3,81.5,74.9,37.4,92.2,8.1,2,2308,moderate,fat_loss,21.8
16,female,152.5,60.9,85.5,29.9,103.4,7.8,0,1794,moderate,maintain,18.9
27,male,176.5,76.0,98.6,31.8,87.4,7.9,6,2369,moderate,fat_loss,19.29
21,male,170.3,84.5,92.1,34.4,94.5,7.4,2,2209,sedentary,fat_loss,23.59
33,female,165.3,56.0,77.5,28.0,95.2,6.4,6,2006,moderate,muscle_gain,15.98
17,male,170.2,83.6,91.7,34.7,96.3,5.7,6,2450,active,fat_loss,22.34
29,male,175.0,62.6,93.9,34.0,95.9,7.4,5,2676,active,maintain,15.0
28,male,170.5,66.3,81.2,33.5,101.7,6.9,3,1859,light,fat_loss,17.61
20,female,166.9,63.7,91.5,30.4,99.4,7.8,2,2138,light,muscle_gain,15.84
20,male,170.6,63.5,90.6,33.9,89.1,6.4,5,2444,moderate,muscle_gain,14.58
18,male,177.3,72.8,78.6,36.2,84.9,8.5,3,2563,light,maintain,15.73
18,female,161.1,60.8,93.6,28.0,96.2,8.6,2,2152,light,muscle_gain,16.05
22,female,150.9,58.5,95.6,32.2,98.7,6.3,2,2147,sedentary,muscle_gain,19.69
22,male,161.8,56.3,100.8,33.1,95.4,7.3,2,1662,sedentary,fat_loss,14.67
16,male,176.5,79.6,100.5,32.3,100.1,5.7,1,2562,light,muscle_gain,18.14
32,male,174.9,65.2,76.2,31.0,87.4,6.2,2,2325,sedentary,muscle_gain,16.74
21,male,177.9,84.9,80.6,35.1,104.1,6.3,1,2684,sedentary,muscle_gain,20.82
22,male,170.1,79.4,95.2,35.6,95.4,6.6,1,2735,sedentary,muscle_gain,21.79
19,female,164.8,62.5,95.1,29.1,98.1,6.6,7,1925,active,fat_loss,15.79
21,male,175.7,70.6,95.2,35.1,92.5,6.4,2,1556,sedentary,fat_loss,16.07
20,male,171.9,79.8,120.0,32.1,92.3,7.3,0,1878,sedentary,fat_loss,20.81
22,female,162.0,57.3,95.7,28.6,103.9,5.7,2,1390,light,fat_loss,15.06
22,male,172.2,73.0,101.4,31.7,95.5,8.0,0,1737,sedentary,fat_loss,18.4
26,male,171.7,64.6,99.5,33.4,88.7,6.0,4,2421,active,fat_loss,16.07
23,female,161.1,83.7,96.5,32.1,104.4,6.8,4,2410,active,muscle_gain,27.79
25,female,171.1,59.6,86.8,30.4,107.0,6.7,1,1909,light,muscle_gain,13.98
22,female,165.9,45.5,97.6,28.6,91.8,8.1,0,1921,light,muscle_gain,8.7
23,male,171.3,68.2,82.3,33.8,85.1,6.8,1,2453,light,muscle_gain,16.98
21,male,165.6,55.3,87.6,34.9,77.1,8.4,1,1871,sedentary,fat_loss,12.83
27,female,154.2,51.8,85.1,32.0,101.6,7.4,1,1253,light,fat_loss,16.15
23,male,185.6,72.6,90.8,30.4,95.4,6.2,1,2226,sedentary,muscle_gain,14.38
21,male,179.3,71.5,113.1,30.4,81.8,6.9,2,2045,sedentary,maintain,15.32
21,male,174.2,59.9,71.3,33.7,92.3,6.9,4,2810,moderate,muscle_gain,12.32
22,female,145.0,57.2,96.9,30.8,110.7,7.7,2,1714,sedentary,muscle_gain,21.51
22,female,175.9,77.7,73.9,29.4,102.0,7.2,2,1891,sedentary,muscle_gain,18.99
22,male,189.4,99.5,85.3,34.2,100.7,6.9,2,3170,light,muscle_gain,22.14
19,female,165.9,66.8,100.9,32.2,102.5,6.3,3,2412,light,muscle_gain,17.29
25,male,186.0,97.4,90.6,36.0,101.4,7.5,1,2751,sedentary,muscle_gain,23.33
26,male,186.0,83.9,79.2,32.1,100.7,6.7,2,1897,sedentary,fat_loss,18.88
30,female,165.3,86.0,82.8,31.2,107.4,6.3,2,1781,sedentary,fat_loss,28.47
19,male,182.3,89.2,96.8,35.6,92.6,6.2,1,1718,sedentary,fat_loss,20.38
25,male,170.0,60.7,82.7,30.9,91.5,7.9,3,2711,moderate,muscle_gain,14.75
16,male,168.0,68.5,92.2,36.0,96.2,5.5,7,3079,active,muscle_gain,16.6
26,female,159.7,63.7,90.5,29.9,92.3,7.3,5,1624,light,fat_loss,19.75
16,male,164.9,65.0,83.5,34.9,92.5,7.0,5,1614,light,fat_loss,16.16
18,female,159.0,60.7,111.4,29.9,103.8,6.4,5,2264,moderate,muscle_gain,16.75
23,female,159.4,69.4,96.3,29.3,101.4,6.2,5,1947,moderate,fat_loss,21.87
19,male,173.2,51.6,70.0,30.7,92.1,7.2,0,1984,sedentary,maintain,8.81
19,female,166.7,65.6,91.9,30.9,99.4,6.6,1,1200,sedentary,fat_loss,16.5
20,male,174.7,82.0,83.4,33.7,92.5,6.5,3,2256,light,fat_loss,20.64
25,male,169.5,70.6,98.5,39.3,97.4,7.9,3,2310,moderate,fat_loss,19.04
18,female,156.6,53.0,82.1,28.9,96.3,7.0,1,1298,sedentary,fat_loss,13.87
22,female,160.1,42.5,88.9,30.7,91.1,7.0,3,1222,light,fat_loss,8.76
20,male,166.1,85.9,95.0,32.3,104.2,6.2,5,2264,light,fat_loss,25.76
26,male,169.0,69.1,98.7,35.7,85.3,7.8,4,1862,light,fat_loss,18.81
26,female,162.1,78.4,78.0,31.5,107.3,8.1,3,1363,light,fat_loss,25.58
16,female,153.0,62.2,86.7,32.6,101.2,7.3,2,2124,moderate,muscle_gain,19.37
27,female,147.8,48.4,85.3,30.4,102.9,8.2,3,1430,light,fat_loss,16.6
19,male,171.8,48.3,83.5,32.8,88.9,6.5,3,1441,sedentary,fat_loss,7.81
23,male,166.5,65.4,107.7,34.0,90.5,8.0,0,1673,sedentary,fat_loss,17.4
18,male,182.4,80.2,94.0,35.7,100.2,6.7,3,2485,moderate,maintain,16.87
24,female,161.6,68.6,77.4,33.3,103.7,6.6,1,2258,light,muscle_gain,20.84
33,female,160.0,55.0,99.2,31.5,99.0,8.2,1,1639,sedentary,maintain,17.17
23,male,171.2,72.7,111.2,36.2,84.6,6.7,2,2689,light,maintain,18.86
20,male,175.9,78.2,100.3,33.6,91.9,6.2,3,2475,moderate,fat_loss,18.73
21,male,167.8,75.6,74.8,37.1,93.8,5.4,3,2981,moderate,muscle_gain,20.85
16,female,165.5,61.3,85.2,29.7,103.4,6.9,6,1713,active,fat_loss,14.34
29,female,157.7,62.8,102.7,32.8,102.9,5.9,5,1861,moderate,maintain,20.77
23,male,178.9,83.6,82.9,33.5,96.2,8.9,1,2521,light,fat_loss,20.43
17,male,173.1,84.2,94.4,31.7,100.6,8.7,1,2302,light,fat_loss,21.43
17,male,169.0,63.8,97.7,34.1,98.8,4.4,3,2105,sedentary,maintain,14.52
22,male,191.8,61.2,80.7,33.3,93.0,8.6,1,2888,moderate,maintain,8.82
26,female,168.2,65.3,89.4,31.9,96.8,6.1,6,1969,moderate,maintain,17.48
17,male,178.2,78.8,70.0,33.2,92.8,8.3,1,1997,sedentary,fat_loss,17.49
27,male,174.3,57.1,79.8,28.3,91.5,7.8,6,2340,active,fat_loss,12.56
22,female,157.5,48.5,87.5,29.4,93.5,8.3,2,1245,light,fat_loss,12.32
18,male,173.3,68.2,77.5,31.0,96.1,8.8,0,1495,sedentary,fat_loss,15.19
20,male,168.4,68.7,106.3,34.5,91.5,6.0,3,2740,light,muscle_gain,17.47
30,male,175.0,72.0,75.7,34.0,96.8,5.9,5,2505,active,fat_loss,18.91
16,male,174.2,49.9,85.6,31.5,87.4,7.6,6,2903,active,muscle_gain,7.21
19,male,190.7,66.1,91.3,34.5,90.7,7.2,2,1907,light,fat_loss,9.98
26,male,179.5,92.1,104.4,34.7,91.3,7.5,4,3381,active,muscle_gain,24.08
23,male,175.6,67.4,75.6,33.5,91.3,6.6,5,2765,active,maintain,15.32
18,male,176.0,74.7,101.6,34.1,95.4,7.7,6,2852,moderate,muscle_gain,16.88
26,male,184.9,63.8,90.1,31.1,88.5,5.6,7,2689,active,fat_loss,12.17
27,female,159.3,63.2,80.2,31.0,102.9,8.7,3,1517,light,fat_loss,19.9
23,male,170.7,65.3,94.6,31.5,87.6,9.1,5,1887,moderate,fat_loss,15.98
19,male,158.7,55.4,92.0,33.7,93.2,5.4,3,2164,moderate,muscle_gain,14.57
20,male,175.9,57.6,84.0,34.4,95.5,8.3,5,2790,moderate,muscle_gain,10.74
23,female,161.9,60.9,90.7,28.3,98.3,5.5,1,1519,sedentary,fat_loss,16.97
16,female,173.8,92.4,86.1,30.6,105.1,7.6,2,2599,moderate,maintain,24.19
28,male,182.0,72.6,91.1,31.1,96.2,5.9,6,3075,active,muscle_gain,16.54
30,male,167.0,75.3,96.6,37.6,96.3,7.3,3,2240,light,maintain,23.1
21,male,169.6,63.6,105.9,32.0,95.4,5.7,7,2374,active,fat_loss,15.16
24,male,172.8,68.1,77.6,31.2,92.0,7.4,2,2273,light,maintain,16.69
27,male,183.2,78.1,111.3,33.9,91.2,6.9,0,2088,sedentary,fat_loss,17.93
31,male,166.0,81.4,70.5,30.1,101.6,6.8,1,1955,sedentary,fat_loss,26.38
29,male,174.0,75.4,88.5,32.1,97.3,7.2,5,2709,moderate,maintain,20.36
16,male,177.4,65.4,95.9,35.4,90.1,5.5,4,2349,moderate,maintain,12.42
21,male,176.0,72.4,92.8,31.6,88.5,7.6,3,2672,light,muscle_gain,16.68
24,male,176.2,86.2,83.8,34.0,89.9,6.6,4,2483,moderate,fat_loss,22.64
20,female,160.0,41.0,87.9,29.6,91.2,5.8,0,1200,light,fat_loss,7.62
30,male,168.1,71.4,85.1,34.5,92.4,7.6,2,2369,light,muscle_gain,21.02
29,female,169.3,72.5,84.1,30.8,101.4,6.2,7,2601,active,maintain,20.82
18,male,171.2,61.7,98.5,33.8,84.8,6.9,4,1798,moderate,fat_loss,13.2
21,female,157.9,61.3,93.6,31.1,96.4,7.2,6,1544,moderate,fat_loss,18.13
19,female,157.7,63.8,83.1,28.0,99.5,6.8,6,2318,moderate,muscle_gain,18.95
21,female,159.0,45.2,99.0,28.4,85.7,6.9,4,2180,active,muscle_gain,10.08
21,female,175.6,89.8,93.1,28.3,99.6,7.7,0,2007,sedentary,fat_loss,23.58
26,female,151.4,59.6,98.1,30.2,99.9,6.8,1,2072,light,muscle_gain,20.98
